작성자,작성일,내용
ssmdggranturismo,2023년 06월 15일,"SSMDG Classicsracer Modern Classics Challenge 2023 
八十年代終極對決
比賽日

賽事：第二回合
日期：今晚上十時正
場地：日本－Autopolis國際賽車道
天氣：S15情朗無雲有霾
排位賽：上午－15分鐘
第一場：下午－12圈 
第二場：旁晩－12圈
第三場：日落－12圈

SSMDG Classicsracer Modern Classics Challenge 2023，彙集了八十年代歐洲及日本具代表性的雙門跑車包括：寶馬M3 Sport Evolution、福特RS500 Cosworth、萬事得RX7 GT-X、日產300ZX TT 及 豐田Supra 3.0GT。所有賽車的馬力調整至300-320匹，基礎重量進一步降至1,150kg，卓越的重量馬力比率令比賽更加緊湊。比賽將在美洲、亞洲和歐洲的賽道上進行八個回合、共二十四場每場各賽五十五公里的衝刺賽。

「AUTOPOLIS」是日本九州大分縣山區著名的賽道，以其棘手的賽道結構而聞名。儘管第一段路段是單純的高速路段，但第二、三段路段卻包含著複雜而速度各異的連續彎道。賽道上坡、下坡的最大坡度分別為7.2%和10%，全程不斷上下起伏，需要車手全神貫注才能在零失誤的狀態下完成一圈。讓我們一起來體驗這個挑戰極限的賽道吧！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship各社交媒體專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Chemical Guys Hong Kong－汽車美容用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Musketeers－法拉利維修專家
Not4Game－電競賽車架
Oasis Tech－賽車用品
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
Scene by Ice Fire - 經典日本時尚
Z-Challenger－電競賽車發展
Zenox－電競產品
Zoom Car Life－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #chemicalguyshk #castleaustralia #fuchssilkolene #GamesBondapp #goodyearhk #gtechoiladditive #musketeershk #not4game #oasistech #pnpgarage #rocketbattery #ReflectionsHK #ScenebyIceFire #ZChallenger #Zenox #zoomcarlife #BMW #Ford #Mazda #Nissan #Toyota"
gpowerups,2023년 06월 14일,"𝐈𝐥𝐥𝐮𝐦𝐢𝐧𝐚𝐭𝐞 𝐲𝐨𝐮𝐫 𝐫𝐞𝐬𝐭𝐚𝐮𝐫𝐚𝐧𝐭'𝐬 𝐛𝐮𝐬𝐢𝐞𝐬𝐭 𝐡𝐨𝐮𝐫𝐬 𝐰𝐢𝐭𝐡 𝐀𝐦𝐚𝐫𝐨𝐧 𝐐𝐮𝐚𝐧𝐭𝐚 𝐁𝐚𝐭𝐭𝐞𝐫𝐢𝐞𝐬! 𝐃𝐞𝐬𝐢𝐠𝐧𝐞𝐝 𝐭𝐨 𝐤𝐞𝐞𝐩 𝐲𝐨𝐮𝐫 𝐞𝐬𝐭𝐚𝐛𝐥𝐢𝐬𝐡𝐦𝐞𝐧𝐭 𝐬𝐡𝐢𝐧𝐢𝐧𝐠 𝐛𝐫𝐢𝐠𝐡𝐭, 𝐞𝐯𝐞𝐧 𝐝𝐮𝐫𝐢𝐧𝐠 𝐩𝐞𝐚𝐤 𝐭𝐢𝐦𝐞𝐬.

𝐆𝐞𝐭 𝐚𝐧 𝐛𝐚𝐭𝐭𝐞𝐫𝐲 𝐭𝐨𝐝𝐚𝐲 𝐚𝐧𝐝 𝐬𝐚𝐲 𝐠𝐨𝐨𝐝𝐛𝐲𝐞 𝐭𝐨 𝐝𝐢𝐦 𝐥𝐢𝐠𝐡𝐭𝐬 𝐚𝐧𝐝 𝐡𝐞𝐥𝐥𝐨 𝐭𝐨 𝐮𝐧𝐢𝐧𝐭𝐞𝐫𝐫𝐮𝐩𝐭𝐞𝐝 𝐛𝐫𝐢𝐥𝐥𝐢𝐚𝐧𝐜𝐞!

For more inquiries, please Call : +91 9449553650 / +91 8023283161

Click the below link to chat with us on WhatsApp: https://wa.me/919449553650
🌍 www.gpowerups.com

#gpowersolutions #rocketbattery #exidebattery #batteries #battery #batterybackup #amaronbattery #inverterbatteries #inverterbattery #emersonups #luminousups #luminous #ups #upssuppliers #upsdealers #vertivups #apcups #eatonups"
rocketbattery.id,2023년 06월 14일,"Rocket Battery, Maintenance Free.

Aki kering yang tidak perlu isi air, siap pasang langsung pakai. Merek asli dari Korea dengan kualitas terjamin. 

Informasi lebih lanjut hubungi kami di WA +6282229508116.

#rocketbattery #rocketbatteryindonesia"
seobusangsa5,2023년 06월 12일,"♻️
#방문교체#내방교체
고객님께서 매장으로 교체하러 오신다셔서
온라인쇼핑몰에서 선구매를 안내드리고 
교체공임비 결제 후
안전하고 정확하게 교체완료 했습니다.
장착 후 배터리 전압까지 확인해보니
12V이상으로 측정되었네요. 합격💯

(주)서부상사 ⚡
031)987-5077

📌매장에서 구매를 원하시면
  온라인에서 주문하시고 방문해주세요.
 (프로필 하단에 구매 링크)
📌택배로 구매를 원하시면
  네이버에서 ""배터리스토어""를 검색해주세요.
📌국내 최대규모! 신품! 정품!

#김포자동차배터리
#김포자동차밧데리
#김포자동차빳데리
#자동차배터리
#자동차빳데리
#자동차밧데리
#김포배터리 #김포배터리총판 #로케트배터리 #엑스프로배터리 #아트라스배터리 #델코배터리 #차량용배터리#산업용배터리"
gogogearracing,2023년 06월 12일,"New driver testing the Civic today at Thunderhill. 

#atpelectronics #rocketbattery 

@kenwoodusa_official 

#ustcc2023 
miller_welders 
@specclutch 
@specialty_products_company 
@sampsonracingradios 
@motulusa 
@hankookmotorsports
@stoptech 
@orafolvehiclewraps 
@orafolamericas 
@konigwheelsusa 
@hondata_inc 
@hasport_performance 
@ktuned 
@launchtech.usa"
yongwoo_kim66,2023년 06월 11일,"#Lf쏘나타 카렌스2 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #폐밧데리수거업체 #부산출장밧데리24시간 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 # #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
maraboris,2023년 06월 11일,"Es ist angekommen! Vielen Dank @romanfritz und @mareenfritz @rextremeinc
#romanfritz #mareenfritz #rextreme #rextremeinc #allesausnichts🔺rextreme #allesausnichts #bodybuilding #bodypositive"
seobusangsa5,2023년 06월 09일,"♻️
오늘의 점심 메뉴는
#쭈꾸미볶음#남경
운양동에 꼭꼭 숨어있는 찐 맛집🐙
런치타임엔 늘 만석이라
출발 전 꼭 예약‼️

(주)서부상사⚡
031)987-5077

📌매장에서 구매를 원하시면
  온라인에서 주문하시고 방문해주세요.
 (프로필 하단에 구매 링크)
📌택배로 구매를 원하시면
  네이버에서 ""배터리스토어""를 검색해주세요.
📌국내 최대규모! 신품! 정품!

#김포자동차배터리
#김포자동차밧데리
#김포자동차빳데리
#자동차배터리
#자동차빳데리
#자동차밧데리
#김포배터리 #김포배터리총판 
#로케트배터리 #엑스프로배터리 
#아트라스배터리 #델코배터리 #차량용배터리#산업용배터리
#김포맛집 #점심맛집 #직장인점심"
gpowerups,2023년 06월 08일,"🔋 Are you a small business owner? 🔌

Say goodbye to power interruptions and enjoy a stable power supply for your business with our reliable Inverter Batteries! 💡✨

For more inquiries, please Call : +91 9449553650 / +91 8023283161

Click the below link to chat with us on WhatsApp: https://wa.me/919449553650
🌍 www.gpowerups.com

#gpowersolutions #rocketbattery #exidebattery #batteries #battery #batterybackup #amaronbattery #inverterbatteries #inverterbattery #emersonups #luminousups #luminous #ups #upssuppliers #upsdealers #vertivups #apcups #eatonups"
ssmdggranturismo,2023년 06월 08일,"SSMDG Classicsracer Modern Classics Challenge 2023 
八十年代終極對決

賽事：第二回合
日期：六月十五日，晚上十時正
場地：日本－Autopolis國際賽車道
天氣：S15情朗無雲有霾
排位賽：上午－15分鐘
第一場：下午－12圈 
第二場：旁晩－12圈
第三場：日落－12圈

SSMDG Classicsracer Modern Classics Challenge 2023，彙集了八十年代歐洲及日本具代表性的雙門跑車包括：寶馬M3 Sport Evolution、福特RS500 Cosworth、萬事得RX7 GT-X、日產300ZX TT 及 豐田Supra 3.0GT。所有賽車的馬力調整至300-320匹，基礎重量進一步降至1,150kg，卓越的重量馬力比率令比賽更加緊湊。比賽將在美洲、亞洲和歐洲的賽道上進行八個回合、共二十四場每場各賽五十五公里的衝刺賽。

「AUTOPOLIS」是日本九州大分縣山區著名的賽道，以其棘手的賽道結構而聞名。儘管第一段路段是單純的高速路段，但第二、三段路段卻包含著複雜而速度各異的連續彎道。賽道上坡、下坡的最大坡度分別為7.2%和10%，全程不斷上下起伏，需要車手全神貫注才能在零失誤的狀態下完成一圈。讓我們一起來體驗這個挑戰極限的賽道吧！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship各社交媒體專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Chemical Guys Hong Kong－汽車美容用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Musketeers－法拉利維修專家
Not4Game－電競賽車架
Oasis Tech－賽車用品
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
Scene by Ice Fire - 經典日本時尚
Z-Challenger－電競賽車發展
Zenox－電競產品
Zoom Car Life－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #chemicalguyshk #castleaustralia #fuchssilkolene #GamesBondapp #goodyearhk #gtechoiladditive #musketeershk #not4game #oasistech #pnpgarage #rocketbattery #ReflectionsHK #ScenebyIceFire #ZChallenger #Zenox #zoomcarlife #BMW #Ford #Mazda #Nissan #Toyota"
yongwoo_kim66,2023년 06월 06일,"#니로하이브리드 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #폐밧데리수거업체 #부산출장밧데리24시간 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
ssmdggranturismo,2023년 06월 05일,"SSMDG Classicsracer Modern Classics Challenge 2023 
第一回合：日本－富士高速賽道
賽事成績

SSMDG Classicsracer Modern Classics Challenge 2023，彙集了八十年代歐洲及日本具代表性的雙門跑車包括：寶馬M3 Sport Evolution、福特RS500 Cosworth、萬事得RX7 GT-X、日產300ZX TT 及 豐田Supra 3.0GT。所有賽車的馬力調整至300-320匹，基礎重量進一步降至1,150kg，卓越的重量馬力比率令比賽更加緊湊。比賽將在美洲、亞洲和歐洲的賽道上進行八個回合、共二十四場每場各賽五十五公里的衝刺賽。

第一回合在六月一日晩上十時正，位於日本－富士高速賽道（Fuji Speedway）舉行三場十八圈衝刺賽。

經過三場激烈嘅比賽，分站總成績如下，
第一名: Car 76 - Leo Leung (FSR_R4mborghini), Ford Sierra RS500 Cosworth [BOP +130kg] - 50分
第二名: Car 8 - Kevin Haagen (MadDog-018), Ford Sierra RS500 Cosworth [BOP +105kg] - 47分
第三名: Car 13 - Alan Tam (X_MrTaipa_X) , BMW M3 Sport Evolution [BOP +86kg] - 43分

而經過一個回合比賽後，車手錦標賽總積分成績如下， 
第一名: Car 76 - Leo Leung (FSR_R4mborghini), Ford Sierra RS500 Cosworth [BOP +130kg] - 64分
第二名: Car 8 - Kevin Haagen (MadDog-018), Ford Sierra RS500 Cosworth [BOP +105kg] - 56分
第三名: Car 13 - Alan Tam (X_MrTaipa_X) , BMW M3 Sport Evolution [BOP +86kg] - 51分

其餘比賽成績，歡迎到SSMDG官網比賽成績分頁細閱，
https://bemho7.wixsite.com/mcc2023/post/round-1-result-and-race-information

大會衷心恭喜，本回合各勝出車手！

電競賽車粉絲可以到我們官方網站 www.ssmdg.hk及SSMDG Gran Turismo Championship各社交媒體專頁，留意最新賽事動態。更可以以特惠價，購買Fuchs Silkolene汽車用油品！

特別鳴謝今季錦標賽冠名贊助商Classicsracer，及以下贊助商對SSMDG Gran Turismo錦標賽及香港電競賽車嘅支持！

Castle 亮麗－清潔用品
Chemical Guys Hong Kong－汽車美容用品
Classicsracer－經典汽車銷售
Fuchs Silkolene (Hong Kong)－汽車油品
GamesBond－應用程式
Goodyear (Hong Kong)－固特異輪呔
Gtech Oil Additive－汽車添加劑
Musketeers－法拉利維修專家
Not4Game－電競賽車架
Oasis Tech－賽車用品
P&P Garage－汽車造型 
Reflections HK－車漆護理
Rocket Battery (Hong Kong / Macau)－汽車電池
Scene by Ice Fire - 經典日本時尚
Z-Challenger－電競賽車發展
Zenox－電競產品
Zoom Car Life－東京駕駛體驗

#ssmdg #gt7 #granturismo #playstation #simracing #esports #motorsport #classicsracer #chemicalguyshk #castleaustralia #fuchssilkolene #GamesBondapp #goodyearhk #gtechoiladditive #musketeershk #not4game #oasistech #pnpgarage #rocketbattery #ReflectionsHK #ScenebyIceFire #ZChallenger #Zenox #zoomcarlife #BMW #Ford #Mazda #Nissan #Toyota"
yongwoo_kim66,2023년 06월 05일,"#제네시스 출장밧데리24시 
#델코배터리 #로케트배터리 #쏠라이트배터리 #아트라스배터리 #agm배터리 #폐밧데리수거업체 #부산출장밧데리24시간 #중고밧데리 #산업용중장비밧데리할인점 #전포동부전동서면문현동밧데리 #진구 #서면 #부전동 #전포동 #남구#문현동 #해운대 #중구 #동구 #동래구 #금정구 #연제구 #수영구 #영도구 #사하구 #사상구 #북구 #밧데리할인점 #부산출장대성카밧데리24시 010 4589 0401"
sosohan_boardgame,2023년 06월 03일,"자라섬캠핑장 
로케트배터리 행사중 ^^ 
차량용 청소기랑 장작 득템 
#자라섬캠핑장 #로케트배터리 #득템"
